iter	F1	Logloss
540	0.9861328039	0.08025812781
541	0.9861462237	0.08017811845
542	0.9861637027	0.08007792464
543	0.9861758996	0.08001588357
544	0.9861938837	0.07992369669
545	0.986207116	0.07983047123
546	0.986221987	0.0797485461
547	0.986233041	0.07969739577
548	0.9862447356	0.07963540288
549	0.9862553225	0.07958988129
550	0.9862719859	0.07950888276
551	0.9862809715	0.07944753347
552	0.9862938281	0.07937845811
553	0.9863049727	0.07933949832
554	0.9863171996	0.07927908573
555	0.9863310654	0.07918826373
556	0.9863497113	0.07909443411
557	0.9863609937	0.07902119601
558	0.9863784905	0.07894617202
559	0.9864000485	0.07880501528
560	0.986411143	0.07874411576
561	0.9864218595	0.07867855176
562	0.9864374674	0.07859731606
563	0.9864504281	0.07849693584
564	0.9864616128	0.07843765193
565	0.9864739065	0.07836955283
566	0.9864857334	0.0783042452
567	0.986500928	0.0782391346
568	0.986513475	0.07819196243
569	0.9865242941	0.0781329551
570	0.9865355806	0.07806280085
571	0.9865492893	0.07800233197
572	0.9865692667	0.07791723818
573	0.9865821938	0.07784633975
574	0.9866010489	0.07772902783
575	0.9866221634	0.07762673517
576	0.9866389132	0.07753406251
577	0.9866541499	0.07745934168
578	0.9866625381	0.07740161144
579	0.9866790882	0.07731278314
580	0.9866890026	0.07723559552
581	0.9867025636	0.07716113994
582	0.9867212972	0.07704831247
583	0.9867389338	0.07695743954
584	0.9867499098	0.07691220186
585	0.9867597505	0.07685188743
586	0.9867776916	0.0767652764
587	0.9867924914	0.07668479893
588	0.9868059544	0.07663635574
589	0.986817588	0.07656921503
590	0.9868356572	0.07646672385
591	0.9868432283	0.07641520837
592	0.9868524778	0.076373661
593	0.9868644658	0.07631010335
594	0.9868757349	0.07622938709
595	0.9868882535	0.07617823983
596	0.9869021102	0.0761046389
597	0.9869107551	0.07603762309
598	0.9869230471	0.07598285906
599	0.9869372455	0.07593097874
600	0.9869502202	0.07586765149
601	0.9869592826	0.07580741851
602	0.9869771924	0.07571781697
603	0.9869941062	0.07563579153
604	0.9870088364	0.07556209912
605	0.9870194646	0.07552093883
606	0.987029412	0.07545668488
607	0.9870435751	0.07538349469
608	0.9870567421	0.07530050302
609	0.9870682301	0.07525453205
610	0.9870796552	0.07518816114
611	0.9870914346	0.07509657069
612	0.9871023936	0.07502503399
613	0.9871143246	0.07496684779
614	0.9871261927	0.07489819728
615	0.9871371526	0.07483341779
616	0.9871544892	0.07474031381
617	0.9871632894	0.07466147562
618	0.987168568	0.0746306391
619	0.9871847554	0.07455953284
620	0.9871964849	0.07450727191
621	0.9872125468	0.07441950254
622	0.9872263991	0.07433311271
623	0.9872390521	0.07427691536
624	0.9872511512	0.07418673007
625	0.9872679724	0.07410388824
626	0.987274224	0.07408021369
627	0.987288685	0.07401702944
628	0.9873017571	0.07394162117
629	0.9873109772	0.07387237902
630	0.9873229763	0.07382245827
631	0.9873454838	0.07372197073
632	0.9873536699	0.07366824729
633	0.9873628911	0.07359711916
634	0.9873833792	0.07349391476
635	0.9873913913	0.0734320434
636	0.9874023186	0.07338282223
637	0.9874119438	0.07333485563
638	0.9874191205	0.07328216258
639	0.9874347619	0.07318422671
640	0.9874454616	0.07314076695
641	0.9874610888	0.07306844094
642	0.9874764397	0.07298711493
643	0.9874854104	0.0729339096
644	0.9874984486	0.07287349476
645	0.9875084545	0.07283366702
646	0.9875226457	0.07275174015
647	0.9875295323	0.07272127484
648	0.9875377065	0.0726813099
649	0.9875477917	0.0726194791
650	0.987557901	0.07256669051
651	0.9875700563	0.07251483947
652	0.9875774645	0.07245422091
653	0.9875855524	0.07240889389
654	0.9875938301	0.07234752107
655	0.9876103939	0.07226764371
656	0.9876242722	0.07218472827
657	0.9876368319	0.07212835046
658	0.9876528438	0.07204601826
659	0.987663042	0.07198730903
660	0.9876767796	0.07192368912
661	0.987688029	0.07185966695
662	0.9876944282	0.07182360168
663	0.9877051092	0.07176093104
664	0.9877187611	0.07169015085
665	0.9877281389	0.07164726434
666	0.987738631	0.071594742
667	0.9877427791	0.07155540722
668	0.9877544094	0.07150792003
669	0.987769706	0.07142187588
670	0.9877805386	0.07135918305
671	0.9877937266	0.07130050882
672	0.9878036278	0.07123348634
673	0.9878222367	0.07114330001
674	0.9878355125	0.07105020122
675	0.9878543355	0.07095099508
676	0.9878681411	0.07089440271
677	0.9878782968	0.07084640608
678	0.9878922928	0.07076888863
679	0.9879037368	0.07070630378
680	0.9879131809	0.07065789408
681	0.9879282696	0.07057692327
682	0.9879367193	0.07050854975
683	0.9879511194	0.07043940009
684	0.987957506	0.07040084131
685	0.9879705092	0.07032913662
686	0.987980604	0.07027167358
687	0.9879882788	0.07023550982
688	0.9880020879	0.07016565775
689	0.9880111313	0.07011467469
690	0.9880240268	0.07002525482
691	0.9880317655	0.06998954892
692	0.9880413786	0.06994936421
693	0.9880518142	0.06988098639
694	0.9880635378	0.06982607555
695	0.9880748189	0.0697684961
696	0.9880855081	0.06970569277
697	0.9881022873	0.06959734257
698	0.9881134656	0.06955176408
699	0.9881197682	0.06950778481
700	0.9881323789	0.06942707922
701	0.9881421837	0.06936713925
702	0.988155888	0.06928024087
703	0.9881758833	0.06919205678
704	0.9881840441	0.06914146599
705	0.9881975193	0.06907266613
706	0.9882054094	0.06901424769
707	0.9882205933	0.06893955196
708	0.9882376758	0.0688438825
709	0.9882471662	0.06880585003
710	0.9882547588	0.06876997986
711	0.9882697994	0.06869261399
712	0.9882771166	0.06864513935
713	0.9882860609	0.06859560834
714	0.9882931478	0.06856086319
715	0.9883076382	0.06847338306
716	0.9883179302	0.06841419631
